Time	State	Method	Dir	ScanAngle	Ping		FilteredPing		Sum			 bestAngle=3	 bestPing=2869
25802	 StateScanForNewDirection	Poll	1	-90	93	93	97.8		97.8				
25834	 StateScanForNewDirection	Poll	1	-89	201	294	118.44		216.24				
25863	 StateScanForNewDirection	Poll	1	-88	169	463	128.552		344.792				
25894	 StateScanForNewDirection	Poll	1	-87	200	663	142.842		487.634				
25922	 StateScanForNewDirection	Poll	1	-86	169	832	148.073		635.707				
25954	 StateScanForNewDirection	Poll	1	-85	199	1031	158.259		793.966				
25986	 StateScanForNewDirection	Poll	1	-84	199	1230	166.407		960.373				
26014	 StateScanForNewDirection	Poll	1	-83	170	1400	167.126		1127.499				
26043	 StateScanForNewDirection	Poll	1	-82	168	1568	167.3		1294.799				
26075	 StateScanForNewDirection	Poll	1	-81	199	1767	173.64		1468.439	-86	1468.439		
26106	 StateScanForNewDirection	Poll	1	-80	199	199	178.712		178.712				
26127	 StateScanForNewDirection	Poll	1	-79	100	299	162.97		341.682				
26146	 StateScanForNewDirection	Poll	1	-78	100	399	150.376		492.058				
26167	 StateScanForNewDirection	Poll	1	-77	99	498	140.101		632.159				
26187	 StateScanForNewDirection	Poll	1	-76	99	597	131.881		764.04				
26208	 StateScanForNewDirection	Poll	1	-75	98	695	125.104		889.144				
26240	 StateScanForNewDirection	Poll	1	-74	199	894	139.884		1029.028				
26263	 StateScanForNewDirection	Poll	1	-73	134	1028	138.707		1167.735				
26295	 StateScanForNewDirection	Poll	1	-72	200	1228	150.965		1318.7				
26327	 StateScanForNewDirection	Poll	1	-71	199	1427	160.572		1479.272	-76	1479.272		
26354	 StateScanForNewDirection	Poll	1	-70	164	164	161.258		161.258				
26387	 StateScanForNewDirection	Poll	1	-69	200	364	169.006		330.264				
26415	 StateScanForNewDirection	Poll	1	-68	169	533	169.005		499.269				
26446	 StateScanForNewDirection	Poll	1	-67	200	733	175.204		674.473				
26478	 StateScanForNewDirection	Poll	1	-66	200	933	180.163		854.636				
26510	 StateScanForNewDirection	Poll	1	-65	199	1132	183.931		1038.567				
26530	 StateScanForNewDirection	Poll	1	-64	98	1230	166.744		1205.311				
26551	 StateScanForNewDirection	Poll	1	-63	99	1329	153.196		1358.507				
26570	 StateScanForNewDirection	Poll	1	-62	98	1427	142.156		1500.663				
26591	 StateScanForNewDirection	Poll	1	-61	98	1525	133.325		1633.988	-66	1633.988		
26611	 StateScanForNewDirection	Poll	1	-60	98	98	126.26		126.26				
26643	 StateScanForNewDirection	Poll	1	-59	202	300	141.408		267.668				
26675	 StateScanForNewDirection	Poll	1	-58	203	503	153.726		421.394				
26702	 StateScanForNewDirection	Poll	1	-57	159	662	154.781		576.175				
26734	 StateScanForNewDirection	Poll	1	-56	202	864	164.225		740.4				
26763	 StateScanForNewDirection	Poll	1	-55	173	1037	165.98		906.38				
26795	 StateScanForNewDirection	Poll	1	-54	202	1239	173.184		1079.564				
26823	 StateScanForNewDirection	Poll	1	-53	167	1406	171.947		1251.511				
26855	 StateScanForNewDirection	Poll	1	-52	202	1608	177.958		1429.469				
26888	 StateScanForNewDirection	Poll	1	-51	206	1814	183.566		1613.035	-56	1633.988		
26911	 StateScanForNewDirection	Poll	1	-50	130	130	172.853		172.853				
26935	 StateScanForNewDirection	Poll	1	-49	128	258	163.882		336.735				
26963	 StateScanForNewDirection	Poll	1	-48	168	426	164.706		501.441				
26995	 StateScanForNewDirection	Poll	1	-47	204	630	172.565		674.006				
27023	 StateScanForNewDirection	Poll	1	-46	160	790	170.052		844.058				
27056	 StateScanForNewDirection	Poll	1	-45	208	998	177.641		1021.699				
27088	 StateScanForNewDirection	Poll	1	-44	209	1207	183.913		1205.612				
27112	 StateScanForNewDirection	Poll	1	-43	130	1337	173.131		1378.743				
27145	 StateScanForNewDirection	Poll	1	-42	209	1546	180.304		1559.047				
27179	 StateScanForNewDirection	Poll	1	-41	217	1763	187.644		1746.691	-46	1746.691		
27203	 StateScanForNewDirection	Poll	1	-40	134	134	176.915		176.915				
27239	 StateScanForNewDirection	Poll	1	-39	235	369	188.532		365.447				
27278	 StateScanForNewDirection	Poll	1	-38	264	633	203.626		569.073				
27317	 StateScanForNewDirection	Poll	1	-37	264	897	215.7		784.773				
27357	 StateScanForNewDirection	Poll	1	-36	264	1161	225.36		1010.133				
27396	 StateScanForNewDirection	Poll	1	-35	265	1426	233.288		1243.421				
27435	 StateScanForNewDirection	Poll	1	-34	265	1691	239.631		1483.052				
27474	 StateScanForNewDirection	Poll	1	-33	266	1957	244.905		1727.957				
27512	 StateScanForNewDirection	Poll	1	-32	255	2212	246.924		1974.881				
27536	 StateScanForNewDirection	Poll	1	-31	129	2341	223.339		2198.22	-36	2198.22		
27575	 StateScanForNewDirection	Poll	1	-30	265	265	231.671		231.671				
27603	 StateScanForNewDirection	Poll	1	-29	173	438	219.937		451.608				
27638	 StateScanForNewDirection	Poll	1	-28	221	659	220.15		671.758				
27677	 StateScanForNewDirection	Poll	1	-27	266	925	229.32		901.078				
27716	 StateScanForNewDirection	Poll	1	-26	266	1191	236.656		1137.734				
27755	 StateScanForNewDirection	Poll	1	-25	254	1445	240.125		1377.859				
27794	 StateScanForNewDirection	Poll	1	-24	265	1710	245.1		1622.959				
27832	 StateScanForNewDirection	Poll	1	-23	256	1966	247.28		1870.239				
27854	 StateScanForNewDirection	Poll	1	-22	117	2083	221.224		2091.463				
27893	 StateScanForNewDirection	Poll	1	-21	266	2349	230.179		2321.642	-26	2321.642		
27918	 StateScanForNewDirection	Poll	1	-20	130	130	210.143		210.143				
27957	 StateScanForNewDirection	Poll	1	-19	266	396	221.315		431.458				
27995	 StateScanForNewDirection	Poll	1	-18	254	650	227.852		659.31				
28035	 StateScanForNewDirection	Poll	1	-17	267	917	235.681		894.991				
28075	 StateScanForNewDirection	Poll	1	-16	273	1190	243.145		1138.136				
28113	 StateScanForNewDirection	Poll	1	-15	268	1458	248.116		1386.252				
28152	 StateScanForNewDirection	Poll	1	-14	260	1718	250.493		1636.745				
28174	 StateScanForNewDirection	Poll	1	-13	112	1830	222.794		1859.539				
28214	 StateScanForNewDirection	Poll	1	-12	269	2099	232.035		2091.574				
28260	 StateScanForNewDirection	Poll	1	-11	320	2419	249.628		2341.202	-16	2341.202		
28306	 StateScanForNewDirection	Poll	1	-10	326	326	264.903		264.903				
28347	 StateScanForNewDirection	Poll	1	-9	285	611	268.922		533.825				
28387	 StateScanForNewDirection	Poll	1	-8	273	884	269.738		803.563				
28427	 StateScanForNewDirection	Poll	1	-7	273	1157	270.39		1073.953				
28467	 StateScanForNewDirection	Poll	1	-6	267	1424	269.712		1343.665				
28505	 StateScanForNewDirection	Poll	1	-5	259	1683	267.57		1611.235				
28548	 StateScanForNewDirection	Poll	1	-4	291	1974	272.256		1883.491				
28566	 StateScanForNewDirection	Poll	1	-3	90	2064	235.805		2119.296				
28600	 StateScanForNewDirection	Poll	1	-2	217	2281	232.044		2351.34				
28645	 StateScanForNewDirection	Poll	1	-1	319	2600	249.435		2600.775	-6	2600.775		
28687	 StateScanForNewDirection	Poll	1	0	290	290	257.548		257.548				
28727	 StateScanForNewDirection	Poll	1	1	274	564	260.838		518.386				
28767	 StateScanForNewDirection	Poll	1	2	273	837	263.271		781.657				
28808	 StateScanForNewDirection	Poll	1	3	273	1110	265.217		1046.874				
28848	 StateScanForNewDirection	Poll	1	4	273	1383	266.773		1313.647				
28888	 StateScanForNewDirection	Poll	1	5	273	1656	268.019		1581.666				
28928	 StateScanForNewDirection	Poll	1	6	274	1930	269.215		1850.881				
