11941: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=0.000, wz=-0.620, w1=-0.031, h0=0.000, h1=-0.003, ei=0.003, correction=0
12052: TaskCorrectCourse::CorrectCourse: dt=0.113, w0=-0.031, wz=-0.058, w1=-0.032, h0=-0.003, h1=-0.007, ei=0.010, correction=0
12158: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-0.032, wz=-0.058, w1=-0.034, h0=-0.007, h1=-0.010, ei=0.020, correction=0
12260: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-0.034, wz=-0.307, w1=-0.047, h0=-0.010, h1=-0.015, ei=0.036, correction=0
12363: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-0.047, wz=0.068, w1=-0.042, h0=-0.015, h1=-0.019, ei=0.055, correction=0
12465: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-0.042, wz=-0.245, w1=-0.052, h0=-0.019, h1=-0.025, ei=0.080, correction=0
12572: TaskCorrectCourse::CorrectCourse: dt=0.108, w0=-0.052, wz=0.005, w1=-0.049, h0=-0.025, h1=-0.030, ei=0.110, correction=0
12676: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-0.049, wz=-0.245, w1=-0.059, h0=-0.030, h1=-0.036, ei=0.146, correction=0
12779: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-0.059, wz=0.005, w1=-0.055, h0=-0.036, h1=-0.042, ei=0.188, correction=0
12880: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-0.055, wz=-0.120, w1=-0.059, h0=-0.042, h1=-0.048, ei=0.235, correction=0
12981: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-0.059, wz=0.005, w1=-0.056, h0=-0.048, h1=-0.053, ei=0.289, correction=0
13081: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-0.056, wz=0.192, w1=-0.043, h0=-0.053, h1=-0.058, ei=0.346, correction=0
13191: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-0.043, wz=-0.245, w1=-0.053, h0=-0.058, h1=-0.063, ei=0.410, correction=0
13291: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=-0.053, wz=0.005, w1=-0.050, h0=-0.063, h1=-0.069, ei=0.478, correction=0
13394: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-0.050, wz=0.068, w1=-0.044, h0=-0.069, h1=-0.073, ei=0.551, correction=0
13504: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-0.044, wz=-0.307, w1=-0.058, h0=-0.073, h1=-0.079, ei=0.631, correction=0
13614: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-0.058, wz=-0.432, w1=-0.076, h0=-0.079, h1=-0.088, ei=0.719, correction=0
13724: TaskCorrectCourse::CorrectCourse: dt=0.108, w0=-0.076, wz=0.005, w1=-0.072, h0=-0.088, h1=-0.096, ei=0.814, correction=0
13828: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-0.072, wz=-0.182, w1=-0.078, h0=-0.096, h1=-0.104, ei=0.918, correction=0
13928: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-0.078, wz=0.568, w1=-0.046, h0=-0.104, h1=-0.108, ei=1.027, correction=0
14027: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-0.046, wz=0.005, w1=-0.043, h0=-0.108, h1=-0.113, ei=1.139, correction=0
14128: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-0.043, wz=0.005, w1=-0.041, h0=-0.113, h1=-0.117, ei=1.256, correction=0
14236: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=-0.041, wz=-0.370, w1=-0.057, h0=-0.117, h1=-0.123, ei=1.379, correction=0
14339: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-0.057, wz=-0.245, w1=-0.066, h0=-0.123, h1=-0.130, ei=1.509, correction=0
14441: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=-0.066, wz=-0.182, w1=-0.072, h0=-0.130, h1=-0.137, ei=1.646, correction=0
14551: TaskCorrectCourse::CorrectCourse: dt=0.108, w0=-0.072, wz=-0.307, w1=-0.084, h0=-0.137, h1=-0.146, ei=1.792, correction=0
